,0
0,"Insanity is hereditary, - You get it from your children."
1,"An honest politician is one who, when bought, stays bought."
2,"You can tune a piano, but you can't tuna fish."
3,A closed mouth gathers no foot.
4,What's black and white and red all over?  An embarrassed zebra.
5,What's black and white and red all over?  Certainly not the Halifax newspapers.
6,Gravity doesn't exist: the earth sucks.
7,What's the most popular form of birth control?  The headache.
8,He who laughs last probably doesn't understand the joke.
9,Let him who takes the plunge remember to return it by Tuesday.
10,A Smith and Wesson beats four aces.
11,"Don't worry if you're a kleptomaniac, you can always take something for it."
12,Help the police - beat yourself up.
13,Avoid the christmas chaos - go to church on sundays.
14,"There are two kinds of persons: The one that divide all people in two part, and then the other that don't."
15,"Seen in U.S.S.R:  ""The last person to leave the country is asked to turn the ligths off."""
16,Wanna be realy stoned?  Drink wet cement.
17,Keep death off the roads.  Drive on the pavement.
18,Dead men are simple very cool.
19,Sigarettes are the main reason for statistics.
20,"Advertisment from British Airways:  ""Breakfast in London, Lunch in New-York and luggage in Berlin"""
21,Do you know why surgeons use masks? It is to be not recognised again.
22,Vegetarians eat vegetables;I'm a humanitarian
23,"""Socrates died from an overdose of wedlock."""
24,"A women was in love with fourteen soldiers, it platoonic."
25,"Max told his friend he didn't want to go for a hike in the hills.  ""I'm an anti-climb Max."""
26,A new wagon designed for LA rush hour traffic is called the Stationary wagon.
27,"An Uncle died, left several hundred clocks to a niece, she's busy winding up the estate."
28,"Two cheerleaders ended up married, they met by chants."
29," Two cans of paint got married, later the bride whispered, ""Darling, I think I'm pigment."""
30,Two boy silkworms pursued a luscious girl silkworm. They ended up in a tie.
31,"A doctor told the boy, ""This injection won't hurt a bit.""  That's an MD promise."
32,Advice to ice skaters: You can't always tell a brook by its cover.
33,"A guru hops around often, he's known as the Kan Guru."
34,"A hermit was arrested after driving a hundred miles an hour, the charge was recluse driving."
35,What do they call a man who builds twenty boats a month? Sir Launchalot.
36,"WHY DO MORONS ONLY GO TO MOVIES IN GROUPS OF 17 OR MORE? BECAUSE THE SIGN OUTSIDE STATES "" UNDER SEVENTEEN NOT ADMITED! """
37,Did you hear about the Scottish Kamikaze pilot? He crashed his plane in his brother's junkyard.
38,What do 32 Iraqi women in one place have? A full set of teeth!
39,"HOW DO YOU CLEAR OUT AND IRAQI BINGO HALL? CALL OUT ""B-52""."
40,DID YOU HEAR ABOUT THE NEW BAGHDAD ROCK GROUP? NO KIDS ON THE BLOCK.
41,Did you hear the one about the lion who ate the lawyer? Had to lick his butt afterwards to get rid of the taste!
42,Did you hear which major department store is considering opening a couple of stores in Iraq? TARGET!
43,DID YOU HEAR FRANCE HAS A NEW NATIONAL FLAG? It is white with a white stripe and a white star!
44,What's the difference between a Canadian Hockey player and an Iraqi woman? The Hockey player takes a shower after three periods.
45,What do a vaccuum cleaner and an Iraqi Tank have in common? They both suck.
46,What do you call an Iraqi with a sheep under one arm and a goat underthe other? Bisexual.
47,What do you call an Iraqi with a sheep under each arm? A pimp.
48,What do you call an Iraqi who has sex with donkeys? Normal.
49,"What did the aspiring Zen Buddhist say to the hot dog vendor?  ""Make me one with everything."""
50,Who is the smallest man mentioned in the New Testament? Peter. (He slept on his watch)
51,When is the first time motorcycles are mentioned in the bible? When David's Triumph was heard throughout the land.
52,Neutrinos have bad breadth.
53,Biology grows on you.
54,"What does a Polack use a ""rubber"" for?  Seal-a-meal"
55,- What do you get when you cross a Polack and a Mongoloid with one leg? A Polaroid 1 Step
56,- What is better than 4 roses on a piano? Two lips on an organ
57,- What do you call a truck load of vibrators? Toys for twats
58,- What do you call a herd of masturbating cattle?  Beef Strokenoff
59,- Why does an elephant have 4 feet?  Because 8 inches isn't enough
60,- What do you call 2 gay guys named Bob?  Oral Roberts
61,- What can you use used tampons for?  Tea bags for vampires
62,- How can you tell a Polish woman is on her period?  She's only wearing 1 sock
63,"What do you get when you cross a Mexican with an octopus? I don't know, but it can sure pick lettuce"
64,- What do soy beans and dildos have in common?Both are meat subsitutes
65,- What's the difference between chicken and meat?  If you beat your chicken it  would die
66,- How can you tell a Head nurse?  The one with dirty knees
67,- What do you get when you cross a Mexican with an Oriental?  A car thief who can't drive
68,What's worse than getting raped by Jack the Ripper?  Getting fingered by Captain Hook
69,"- Why did the Italian staple his nuts together?  Since he couldn't lick them, he felt he should join them"
70,What's invisible and smells like carrots?  Bunny farts
71,Why can't little black kids play in sandboxes?  Cats keep trying to cover them up
72,What do elephants use for a tampon?  Sheep
73,Why don't Mexicans barbeque?  Because the beans slip through the grill
74,What do you call a one-legged woman? Ilene.
75,Why did the Aggie spend all night in front of the house of ill repute? He was waiting for the red light to turn green.
76,The only computers I trust with my women are Unix.
77,Why were Helen Keller's fingers purple?She heard it through the grapevine.
78,What is the difference between ooooh and aaaah?About three inches.
79,What is the difference between a dog and a fox?About three drinks.
80,What do you do with an elephant that has three balls? Walk him and pitch to the giraffe.
81,What are the three most difficult years for an Aggie? Second grade.
82,Did you hear about the Aggie car pool? They all meet at work.
83,Why were the Aggies pushing their house down the street? They were trying to jump-start the furnace.
84,"Did you hear the Aggies bought a thousand septic tanks?As soon as they learn to drive them, they'll invade Mexico."
85,What did the leper say to the prostitute? Keep the tip.
86,Did you hear about the Republican Fried Chicken fast food restaurant? All they serve are right wings and a**holes.
87,What is the difference between a rooster and a lawyer? The rooster clucks defiance.
88,What do you get when you cross a a rooster and a hoot owl? A cock that stays up all night.
89,Why did they kick the leper out of the restaurant? They had to keep changing the finger bowls.
90,What is the difference between a tribe of sly aborigines and a female track team? The first is a pack of cunning runts.
91,Why are there more Democrats than Republicans? Who wants a piece of elephant!
92,What did the hurricane say to the coconut tree? Hold on to your nuts---this is no ordinary blow job.
93,Did you hear about the prostitute that died and went to heaven? She traded her harp for an upright organ.
94,Why does the Easter Bunny hide his eggs? He doesn't want the world to know he's been making out with chickens.
95,What do you get when you cross a rooster with a telephone pole? A 40-foot cock that wants to reach out and touch someone.
96,Why don't midgets use tampons? They trip over the strings.
97,Did you hear about the elephant with diarrhea? It's all over town.
98,What do you call a leper in a hot tub? Soup.
99,Did you know production costs in the dairy business are high? A lot of expenses are in curd.
100,Watch out for lamp manufacturers. There are a lot of shady characters.
101,Did you hear about the guy who went bankrupt in the laundry business? He says he's all washed up.
102,What do you call a cow with only three legs? Lean beef.
103,What do you call a cow with no legs? Ground beef.
104,"What did the elephant say to the naked man? ""Can you breathe through that?"""
105,Lawyers sometimes tell the truth. They'll do anything to win a case.
106,What do you call a row of rabbits that takes a step backwards? A receding hare-line.
107,What do you get when you pour scalding water down a rabbit hole? Hot cross bunnies.
108,What do you have when rabbits climb out of their hole? A hare-raising sight.
109,"What did the topless dancer say when chastised about her profession? ""It's better than being flat busted!"""
110,"When I fly on a jet, my ears pop a lot; it's an earry feeling."
111,Some parents believe that spanking a child is an important part of rearing a child.
112,Twins might best be described as womb-mates.
113,Did you hear the elephants at the circus are going on strike? They're tired of working for peanuts.
114,"Did you hear about the fight in the lion house at the zoo? A lion called another a cheetah.  Personally, I think he was lion."
115,How do you keep an elephant from charging? Take away his credit card.
116,Did you hear about the animal hotel that has exclusive accommodations for squirrels? It's called The Nutcracker Suite.
117,"What is the most vulnerable animal in the world? The frog.  When you touch it, it croaks. Put another way, one touch and it's toadalled."
118,Did you hear they are looking for someone to be in charge of potato snacks in the monastery? The job description will be:  Chipmonk.
119,Did you hear about the House-Senate conference committe considering legislation to decriminalize the use of marijuana? It's called the Joint Session of Congress.
120,What is the opposite of progress? Congress.
121,How can Congress trim the fat from Federal spending? By switching to lo-cal government.
122,The state of Missouri has vigorously tried to get some of the other states bordering on the Mississippi River to join in an urgently needed flood control project. This is because Missouri loves company.
123,The 200th anniversary of the founding of the buffalo sanctuaries will be marked by a Bisontennial celebration.
124,The Hawaiian Islands have many craters that were formed by volcanoes. You might say that the islands are full of ash holes.
125,"Several years ago I came up with the idea of writing a play about the movement to eliminate pay toilets. I've been sitting on the idea for a number of years, but I feel I can stall no longer."
126,Why did God give women vaginas? Because sheep can't cook.
127,Why do mice have tiny balls? Very few know how to dance.
128,What do you get when you cross a kangaroo with a mink. A fur coat with pockets.
129,Why is money green? Because Jews pick it before it is ripe.
130,"What is long, hard, round and full of seamen? A submarine."
131,How do you keep a turkey in suspense? I'll tell you tomorrow.
132,What is the difference between love and Herpes? Herpes is forever.
133,Where do prostitutes go for recycling? The Virgin Islands.
134,What's grey and comes by the gallon? Elephants.
135,What is the difference between an Aggie and a pizza? The pizza doesn't scream when you put it in the oven.
136,How many Jewish mothers does it take to change a lightbulb?None.  They'd rather sit in the dark and suffer.
137,What do you call a gay Jew? A Heblew.
138,How do we know Christ wasn't born in Italy? There are no virgins and they couldn't find three wise men.
139,Did you hear about the Aggies that were arrested in the Iranian zoo? They were trying to free the hostriches.
140,Did you hear about the two blind gay guys? You've got to hand it to them.
141,Why are all Jewish men circumcized? Because Jewish women go crazy over anything 20% off.
142,How many Californians does it take to screw in a lightbulb?None.  They screw in hot tubs.
143,Why don't Baptists screw standing up? They're afraid people might think they're dancing.
