,0
0,Our Editor's Choice photos of the day:  
1,Brazil Supreme Court votes to indict lower house speaker on graft charges 
2,Tunisian forces kill five militants crossing from Libya 
3,Rights group decries 'crisis of violence and impunity' in Mexico 
4,Merkel calls for Germany to get more involved in world affairs 
5,Homicides in El Salvador double during first two months of 2016 
6,"Spanish royals knew my business, princess's husband tells court "
7,"Biden, Iraq's Abadi discuss military, financial support in call: White House "
8,Spanish al Qaeda commander killed by French forces in Mali: sources 
9,Spain's Socialist leader loses first vote to become prime minister 
10,"""El Chapo"" wants to accelerate extradition to U.S. in hope prison treatment will be better:  "
11,Italian mafia earnings from drugs rival Fiat with cars 
12,Egypt parliament expels MP for dining with Israeli ambassador 
13,"Nearly 2,000 legal cases opened for insulting Turkey's Erdogan "
14,U.N. says aid ship docks in Yemen after diversion to Saudi Arabia 
15,U.S. 'very concerned' by media crackdown in Malaysia 
16,Zambian opposition party leader arrested over illegal militia drills 
17,Norway denies inhuman treatment of mass killer Breivik:  
18,"U.S. says working with Russia on aid flow, truce in Syria "
19,Warfare among French socialists hurts Hollande's re-election bid 
20,Convicted ex-CEO of OAS may name Lula in Brazil plea deal: newspaper 
21,Russia says 40 agreements signed on ceasefire in Syria: agencies 
22,"Mozambique plane debris believed to be from Boeing 777, says Malaysia minister:  "
23,White House says Biden to visit Middle East March 5-10 
24,Mexican drug lord Guzman seeks to speed up extradition to U.S. 
25,Military invites experts to 'Hack the Pentagon':  
26,"Passion spent, Scots yet to be fired up by Britain's EU vote "
27,Mozambique plane debris believed to be from Boeing 777: Malaysia minister 
28,"Austerity-hit Greeks help refugees with food, toys, time "
29,"Russian, Belarussian fugitives arrested in Spanish resort for fraud: police "
30,Turkish prime minister to visit Iran this week 
31,Al Qaeda leader bin Laden left $29 million inheritance for jihad 
32,Meet the girls in Karachi changing the status quo. These boxers are aiming for international competitions.
33,Huge quake strikes off Indonesia but tsunami warnings cancelled:  
34,Business ponders 'horrific' cost of end to borderless Europe 
35,London would lose out if UK votes 'out' - Hammond
36,Public support for Hungarian PM's party drops in February: poll 
37,Scott Kelly and Mikhail Kornienko - spacemen returned to Earth:  
38,Facebook executive jailed in Brazil set to be released:  
39,"U.N. approves harsh new sanctions on North Korea drafted by U.S., China "
40,British military rapped over deaths of three soldiers on exercise 
41,Gloom deepens over Ukraine peace deal before Paris meeting 
42,Italy may recall student murder probe team from Egypt over lack of cooperation: judicial source 
43,18 killed in car bomb against Syrian insurgents in southern province Quneitra: monitor 
44,Netanyahu seeks to expel families of Palestinian attackers:  
45,Possible debris from Malaysia flight MH370 found near Mozambique: NBC 
46,U.S. plans naval exercises with India and Japan in Philippine Sea 
47,South Korea demands more sanctions on 'serial offender' North:  
48,Germany takes on Facebook in first-ever competition probe -  
49,"Germany calls on EU to help Greece, urges Athens to protect border:  "
50,Palestinians turn to makeshift guns in escalation of street violence 
51,Russian prosecutor demands 23 years in jail for female Ukrainian pilot 
52,"Osama bin Laden wrote a letter calling on the US to fight ""catastrophic"" climate change:  "
53,Indian student held on sedition charge bailed after free-speech protests 
54,Briton guilty of raping women he met via  
55,UPDATE: Tsunami warning lifted following major earthquake off Indonesia 's Sumatra island TVRI says quoting meteorolgical agency official
56,EU launches emergency refugee aid scheme for Greece:  
57,Pakistani man kills sisters in suspected honor killing 
58,Spanish parties dismiss Socialists' 'unreal' bid to govern:  
59,"In Islamic State battle, Cairo struggles to rally Sinai tribes "
60,UPDATE: Major 7.9 magnitude quake strikes southwest of Indonesia - USGS - 
61,Major 7.9 magnitude quake strikes southwest of Indonesia: USGS. 
62,UPDATE: Indonesia issues tsunami warning after big Sumatra quake 
63,Irish PM says open to talks with main rival 
64,Major 8.1 magnitude quake strikes southwest of Indonesia: USGS 
65,"UPDATE: Indonesia National Meterological agency -  issues early tsunami warning in West Sumatra, North Sumatra, Aceh "
66,Moody's cuts China outlook to negative:  
67,"U.S. targets Islamic State with 21 strikes in Iraq, Syria: statement "
68,Major 8.2 magnitude quake strikes southwest of Indonesia: USGS. 
69,German court throws out objections by far-right NPD in ban case 
70,"Platini appeals FIFA ban, tribunal says:  "
71,Irish PM seeks to form new government:  
72,"Anti-immigrant 'Soldiers of Odin' expand from Finland to Nordics, Baltics:  "
73,North Korea says nuclear deterrent not aimed at South 
74,South Africa's finance minister Gordhan says unable to meet deadline to answer police questions 
75,Record-breaking South Korea filibuster over 'terror' law ends on ninth day 
76,Airports say Schengen collapse would force costly terminal redesigns 
77,43 Kurdish YPG fighters killed in Syria in battle with Islamic State 
78,Taliban claim blast that killed two Pakistani staff of U.S. consulate 
79,A year in space: Scott Kelly and Mikhail Kornienko return to Earth -  
80,South Korea minister calls for tough sanctions on North 
81,Turkey says offers to sign migrant readmission agreements with 14 countries 
82,Pope says Church does not want 'dirty money' 
83,Syrian govt forces open new battle with rebels in northwest 
84,Turkey says has hit only Islamic State targets since ceasefire started 
85,Syrian opposition says peace talks date remains 'hypothetical': Arabiya al-Hadath TV 
86,Bin Laden called for Americans to rise up over climate change:  
87,"Release of jailed Turkish journalists is 'defeat' for Erdogan, Dundar says "
88,Global stocks rally as global slowdown fears fade:  
89,Gulf Arab states designate Hezbollah a terrorist organization: statement 
90,Spain's Rajoy dismisses Socialists' 'unreal' bid to govern 
91,Australia softens sanctions against Iran  
92,U.S. forces capture Islamic State operative in Iraq: NYT 
93,Asia stocks rise as risk appetite returns; data boost:  
94,New coalition commander inherits raging war in Afghanistan 
95,Jordanian forces kill 7 Islamist militants in Irbid: security source 
96,Uzbek woman says in court 'Allah ordered' her to sever child's head 
97,"Explosions, gunfire heard near Indian consulate in Afghan city "
98,One Chinese worker killed in Laos 'militant' attack: Xinhua 
99,Texas abortion case goes before shorthanded U.S. Supreme Court  
100,Two Palestinian teens shot dead after attacking Israeli in West Bank 
101,Thai junta's intimidation of academics reveals insecurity: rights group 
102,U.S. turns to Broadway to promote gay rights at United Nations 
103,Hunger soars in CAR as nearly 2.5 million face food shortages 
104,Most nations in Americas have laws that can suppress journalism: report 
105,Haiti interim president: Election body to decide if vote deadline viable  
106,Five murdered youth in Mexico confused for cartel members 
107,"Jamaican opposition wins one seat margin, new PM seen this week  "
108,Catholic Church abuse victims call for meeting with Pope  
109,Filipino fishermen say China blocking access to South China Sea atoll: media 
110,"Many indigenous people lack title to land where they live, research shows "
111,"Stuck in limbo, Mauritania's Syrian refugees dream of the West "
112,Chongqing blazes economic trail as Bo scandal recedes 
113,Top Vatican cardinal says never raised abuse concerns with superiors 
114,China's militarization of South China Sea will have consequences: U.S. 
115,Newly released bin Laden letter calls on Americans to help Obama fight climate change:  
116,"Hezbollah criticizes Saudi Arabia, sees new chapter of struggle in Lebanon "
117,Metallurgical company CEO arrested for exports to Iran: U.S. Justice Department 
118,Jordanian security clash with suspected Islamist militants in Irbid 
119,Turkey's Erdogan offers to help West Africa fight terrorism 
120,Irish PM says will attempt to form new government 
121,Guatemala sex slave victims seek $3 million in damages in historic wartime rape trial 
122,Prominent Saudi cleric on Islamic State hit list is injured in Philippines shooting: 
123,Rival of Uganda's Museveni challenges presidential poll result 
124,"Living in filth, Greece's migrants battle hunger and cold:  "
125,Now or never: Trump's 'wall' talk sparks migrant rush on U.S.-Mexico border:  
126,"Another blast at Severstal's mine in Arctic, no one hurt: reports "
127,Executives of Brazil's No. 2 building company say it paid Rousseff campaign suppliers: paper 
128,U.N. will restart Syria peace talks on March 9. More here:  
129,"Billionaire Mikhelson is now Russia's richest man, says Forbes:  "
130,U.N. delays vote on tough new North Korea sanctions at Russia's request:  
131,China is to lay off five to six million workers. Find out more:  
132,Tent city on Greek border grows as migrant stalemate persists 
133,EU to call for emergency humanitarian aid to Greece:  
134,"U.S. student confesses to ""severe crimes"" in North Korea. More:  "
135,Billionaire Mikhelson becomes Russia's richest man: Forbes 
136,Prominent Saudi cleric injured in Philippines shooting 
137,German court starts hearings in bid to ban far-right NPD party 
138,Elections gains unlikely to shift Iran power balance fast 
139,"Guatemala police says to extradite former soccer chief Brayan Jimenez implicated in FIFA corruption scandal, to U.S."
140,"In latest cache of declassified documents, bin Laden fears tracking chip in wife's tooth:  "
141,Israel says Syrian government used chemical weapons during truce 
142,South Africa's Zuma defeats no-confidence vote over economy 
143,Iraqi forces try to cut Islamic State supply lines in western desert 
144,Next round of Syria peace talks to begin on March 9: U.N. -  
145,Nobel Peace Prize shatters record for nominees for 2016 
146,New bin Laden documents reveal al Qaeda's worries:  
147,European rights body says worried by hate speech in Georgia 
148,Austria plans ad campaign to deter Afghans from seeking asylum 
149,New bin Laden documents reveal strains of managing al Qaeda's external networks:  
150,"In newly declassified letter, bin Laden asks his father for forgiveness:  "
151,"U.N. may delay Syria talks, says U.S., Russia must guarantee truce "
152,"U.S.'s Kerry says two local employees, soldiers, killed in Pakistan blast "
153,No serious safety breaches at Russian coal mine where 36 died: agencies 
154,Northern Ireland murder case over 1998 Omagh bombing collapses 
155,"U.N. council to vote on North Korea sanctions text agreed by U.S., China "
156,"Documents show Bin Laden's wishes for $29 million of his funds, possessions after his death:  "
157,Infantino begins search for non-European chief exec:  
158,Argentina's Macri faces first test in Congress with creditors deal 
159,"Hong Kong bookseller denies kidnapped by China, says to renounce UK citizenship:  "
160,"New bin Laden documents show a suspicious, pressured al Qaeda:  "
161,"Anti-torture committee warns Greece on over-crowded prisons, police violence "
162,Turkey closes media outlets seized from Gulen-linked owner 
163,Tunisia backs plan to host German troops to train Libyan army 
164,Cameron's morning after: how Brexit divorce gets messy 
165,Afghan troops pull out of more posts in volatile south 
166,"Assad backs Syria truce, accuses opposition of violations "
167,Turkey's top judge defends court independence after Erdogan criticism 
168,"Slovakia's Fico set for election win, reinforcing central Europe's EU dissenters "
169,"China to lay off 5-6 million workers, earmarks at least $23 bln -  "
170,"Some EU migrants can be told where to live, top court rules "
171,Spain's Socialist leader gears up for unlikely leadership bid 
172,Central African constitutional court confirms Touadera elected president 
173,Indian forces kill eight Maoist rebels in gunbattle 
174,"Mali rebel destroyed ancient Timbuktu shrines, ICC told "
175,"U.N. chief, Lavrov uphold Syria agreement, call for talks "
176,Basque militant separatist released from Spanish jail 
177,Lavrov calls for new pact against chemical warfare by Islamic State 
178,Europe on cusp of self-induced humanitarian crisis: UNHCR 
179,Bomb kills at least five Somali soldiers outside Mogadishu 
180,Mexico says 11 pregnant women infected with Zika 
181,Senior Iraqi army officer killed in Haditha attack 
182,Oil traders beware: El Niño may distort U.S. shale output picture:  
183,Italian killed in Egypt was interrogated for days: forensics expert 
184,"From Brussels-bashing to Brexit, ambivalent Boris bets against EU "
185,Executed Pakistani praised as hero of Islam for supporting blasphemy law 
186,More than $1 billion was transferred into Malaysia PM's accounts: WSJ  
187,Saudi says to work with oil producers to limit market volatility:  
188,UK to send troops to Tunisia to help stop ISIS crossing Libyan border:  
189,"OPEC watching Iran, Russia, unlikely to cut output in June  "
190,Barclays to exit Africa as profit falls:  
191,Tunisian forces kill four militants in clashes: ministry 
192,Zimbabwe's Mujuru launches new political party to challenge Mugabe 
193,Oman bus crash kills 18 people: state news agency 
194,Israeli troops kill Palestinian after soldiers attacked in West Bank 
195,Zimbabwe court allows firm to return to diamond fields after government ban 
196,Brazil's Petrobras corruption investigation targets Lula  
197,China party to punish former tycoon for microblog posts 
198,"Afghan women, girls face invasive virginity tests, says rights report "
199,Myanmar brings forward date for presidential nominations to March 10 
200,Cambodians admit to raping French tourists in Thailand: foreign ministry 
201,U.N. Security Council to vote on new North Korea sanctions Tuesday: U.S.  
202,China court jails 24 over $1.5-bln financial fraud - Xinhua 
203,"China's Xi says shares 'common destiny' with Vietnam, looks to repair ties "
204,South Korea's Park says door not shut on dialogue with North 
205,New Taiwan president's dilemma: to host or not to host the Dalai Lama?  
206,"Missing Hong Kong bookseller to give up British passport, denies being kidnapped "
207,Top Vatican cardinal says pope backs him on stance over abuse issue  
208,China navy launches first self-propelled floating dock 
209,Germany says credibility of Minsk peace deal for eastern Ukraine at stake 
210,Jamaican military on streets as election winner's margin narrows 
211,"Fog collectors net scarce water in Kenya, but face a cloudy future "
212,Lebanon struggles to help Syrian refugees with mental health problems 
213,"Bangladeshi women trafficked to war-torn Syria as sex slaves, maids "
214,Greek PM Tsipras says lenders could return for review in first 10 days of March 
215,Portugal nominates ex-refugee chief for U.N. secretary-general 
216,Egypt PM says government will present program to parliament in March 
217,"Trudeau, Canadian provinces set for tough climate change talks "
218,Suicide attacks west of Baghdad kill eight: sources 
219,Colombia's defense minister investigated over rebel visit 
220,"Support for Merkel rises, but doubts over refugee policy remain "
221,"Pakistan not to blame for Afghan troubles, official says on U.S. visit "
222,North Korea says U.S. student confessed to stealing item with propaganda slogan:  
223,Ireland's No.2 party calls for reform of parliament before coalition talks 
224,The letters sent to China by major powers over concerns on new or planned laws.  
225,Suicide bombing kills 27 at Shi'ite funeral in east Iraq. More here:  
226,Britain's Cameron hits back at EU referendum foes with 'Project Fact' 
227,Syrian opposition says attacks by government forces are wrecking the truce deal:  
228,Kuwaiti minister hints driver who killed policeman may be a militant 
229,Major powers team up to tell China of concerns over new laws 
230,In pictures: Violence breaks out as Calais migrant shanty is town dismantled:  
231,Ex-Nigerian minister denies $3 million fraud charges over deadly recruitment stampede 
232,U.S. expects to give Iraq more support for Mosul fight: U.S. defense chief 
233,Ex-teacher faces Timbuktu monument destruction charges at ICC 
234,Mexico reports fresh theft of radioactive material 
235,UK regulators say won't apply EU bonus cap to all banks:  
236,Police fire tear gas at supporters of Liberian anti-government activist 
237,Swiss may decide their own limits on migrants from EU without Brussels: foreign minister 
238,"Suicide bomber kills four in Yemen's Aden city: security source, residents "
239,Brazil justice minister to resign: presidency source 
240,U.S. warns citizens to be ready to leave Iraq if Mosul dam collapses 
241,Turkish military hits Islamic State positions inside Syria: broadcaster NTV 
242,John Kerry and Sartaj Aziz at the U.S. Pakistan Strategic Dialogue meeting. Watch:  
243,Suicide bombing northeast of Baghdad kills 14 people: sources 
244,Bolivian president's woes deepen as ex-girlfriend is held 
245,Cameron's EU deal may disappoint wavering British voters - Sturgeon:  
246,South African police says there is 'no case' against finance minister Gordhan 
247,"U.S. leads 24 strikes against Islamic State in Iraq, Syria "
248,Denmark PM names two new ministers after avoiding snap vote 
249,Syrian opposition says government wrecking truce deal 
250,At least 12 killed in eastern Congo by suspected Ugandan rebels 
251,"Irish rivals drag out stalemate, say both trying to form government "
252,Britain's EU deal - hollow or substantial? 
253,Varoufakis advises the UK Labour Party on EU matters:  
254,Crises give Eritrea routes for closer global engagement 
255,Barclays Africa plays down impact of possible parent company exit: 
256,Macedonia police fire teargas on migrants at Greek border:  
257,"As sea levels rise, economic damage piles up even faster - study -  "
258,France begins clearing part of Calais migrant camp 
259,Pakistan praises Oscar for film denouncing 'honor killings' 
260,Israeli military braces for battle over beards 
261,China cuts reserve requirement ratio for fifth time since February 2015:  
262,Woman arrested in Moscow for murder after brandishing child's severed head 
263,Myanmar parliament to change presidential elections date: document 
264,Former Tepco execs indicted over Fukushima nuclear disaster:  
265,"Syria ceasefire task force to meet, France wants answers on violations "
266,Orban says Hungary faces 'serious challenge' in euro decision 
267,"Iran reformists cheer election gains, hardliners play down shift "
